~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e1036;v180;v1;production_var;60;s;GARNIR;pcs;
e1037;v180;v1;production_var;120;s;CUIRE;pcs;
e1038;v180;v1;production_var;120;s;RESERVER;pcs;
e1040;v183;v1;production_var;60;s;GARNIR;pcs;
e1041;v183;v1;production_var;120;s;CUIRE;pcs;
e1042;v183;v1;production_var;120;s;RESERVER;pcs;
e1044;v185;v1;production_var;60;s;GARNIR;pcs;
e1045;v185;v1;production_var;120;s;CUIRE;pcs;
e1046;v185;v1;production_var;120;s;RESERVER;pcs;
e1048;v186;v1;production_var;60;s;GARNIR;pcs;
e1049;v186;v1;production_var;120;s;CUIRE;pcs;
e1050;v186;v1;production_var;120;s;RESERVER;pcs;
e1052;v187;v1;production_var;60;s;GARNIR;pcs;
e1053;v187;v1;production_var;120;s;CUIRE;pcs;
e1054;v187;v1;production_var;120;s;RESERVER;pcs;
e1056;v188;v1;production_var;60;s;GARNIR;pcs;
e1057;v188;v1;production_var;120;s;CUIRE;pcs;
e1058;v188;v1;production_var;120;s;RESERVER;pcs;
e1060;v190;v1;production_var;10;s;REALISER;pcs;
e1061;v190;v1;production_var;6;s;CUIRE;pcs;
e1062;v190;v1;production_var;6;s;RESERVER;pcs;
e1068;v193;v294;production_var;30;s;REALISER;pcs;
e1069;v193;v294;production_var;90;s;CUIRE;pcs;
e1070;v193;v294;production_var;30;s;RESERVER;pcs;
e1074;v196;v294;production_var;30;s;REALISER;pcs;
e1075;v196;v294;production_var;90;s;CUIRE;pcs;
e1076;v196;v294;production_var;30;s;RESERVER;pcs;
e1080;v198;v294;production_var;300;s;REALISER;pcs;
e1081;v198;v294;production_var;180;s;DECORER;pcs;
e1085;v199;v294;production_var;420;s;REALISER;pcs;
e1086;v199;v294;production_var;120;s;CUIRE;pcs;
e1087;v199;v294;production_var;120;s;RESERVER;pcs;
e1088;v199;v294;production_var;300;s;DECOUPER;pcs;
e1091;v200;v294;production_var;180;s;REALISER;pcs;
e1093;v200;v294;production_var;120;s;GLACER;pcs;
e1098;v201;v294;production_var;23;s;REALISER;pcs;
e1100;v201;v294;production_var;15;s;GLACER;pcs;
e1103;v210;v294;production_var;1.5;s;FACONNER;pcs;
e1104;v210;v294;production_var;1.5;s;MISE AU FROID;pcs;
e1105;v210;v294;production_var;2;s;APRETER;pcs;
e1106;v210;v294;production_var;2;s;POINCONNER;pcs;
e1107;v210;v294;production_var;5;s;CUIRE;pcs;
e1108;v210;v294;production_var;2;s;RESERVER;pcs;
e1109;v210;v294;production_var;2;s;NETTOYER;pcs;
