~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e391;v183;v184;contient;1;pcs;;;
e392;v184;v189;contient;50;g;;;
e393;v184;v181;contient;100;g;;;
e394;v184;v172;contient;1;pcs;;;
e395;v184;v174;contient;250;g;;;
e396;v185;v184;contient;1.2346;pcs;;;
e397;v186;v184;contient;1.4938;pcs;;;
e398;v187;v184;contient;1.7778;pcs;;;
e399;v188;v184;contient;2.0864;pcs;;;
e400;v189;v273;contient;;;;;
e401;v190;v191;contient;100;g;;;
e402;v191;v16;contient;962;g;;;
e403;v191;v18;contient;5;g;;;
e404;v191;v73;contient;10;g;;;
e405;v191;v7;contient;481;g;;;
e406;v191;v17;contient;96;g;;;
e407;v191;v4;contient;96;g;;;
e408;v191;v20;contient;207;g;;;
e409;v191;v127;contient;144;g;;;
e410;v192;v193;contient;2;pcs;;;
e411;v192;v150;contient;270;g;;;
e412;v192;v61;contient;25;g;;;
e413;v193;v194;contient;100;g;;;
e414;v194;v103;contient;135;g;;;
e415;v194;v7;contient;20;g;;;
e416;v194;v20;contient;20;g;;;
e417;v194;v45;contient;75;g;;;
e418;v194;v101;contient;100;g;;;
e419;v195;v150;contient;270;g;;;
e420;v195;v196;contient;2;pcs;;;
e421;v195;v61;contient;25;g;;;
e422;v196;v197;contient;100;g;;;
e423;v197;v103;contient;135;g;;;
e424;v197;v7;contient;20;g;;;
e425;v197;v20;contient;20;g;;;
e426;v197;v45;contient;75;g;;;
e427;v197;v101;contient;50;g;;;
e428;v197;v120;contient;50;g;;;
e429;v198;v199;contient;1;pcs;;;
e430;v198;v150;contient;450;g;;;
e431;v198;v153;contient;20;g;;;
e432;v198;v57;contient;110;g;;;
e433;v199;v4;contient;750;g;;;
e434;v199;v7;contient;450;g;;;
e435;v199;v20;contient;450;g;;;
e436;v200;v55;contient;555;g;;;
e437;v200;v22;contient;650;g;;;
e438;v200;v19;contient;80;g;;;
e439;v201;v55;contient;69;g;;;
e440;v201;v22;contient;81;g;;;
e441;v201;v19;contient;10;g;;;
e442;v202;v270;contient;1;pcs;;;
e443;v202;v206;contient;50;g;;;
e444;v202;v207;contient;30;g;;;
e445;v202;v18;contient;10;g;;;
e446;v202;v143;contient;1;pcs;;;
e447;v203;v270;contient;1;pcs;;;
e448;v203;v208;contient;50;g;;;
e449;v203;v34;contient;20;g;;;
e450;v203;v35;contient;20;g;;;
e451;v203;v37;contient;15;g;;;
e452;v203;v143;contient;1;pcs;;;
e453;v204;v270;contient;1;pcs;;;
e454;v204;v206;contient;50;g;;;
e455;v204;v18;contient;10;g;;;
e456;v204;v143;contient;1;pcs;;;
e457;v205;v270;contient;1;pcs;;;
e458;v205;v209;contient;50;g;;;
e459;v205;v143;contient;1;pcs;;;
e460;v205;v18;contient;10;g;;;
e461;v207;v284;contient;;;;;
e462;v210;v211;contient;17;g;;;
e463;v211;v20;contient;583;g;;;
e464;v211;v18;contient;292;g;;;
e465;v211;v106;contient;1.5;pcs;;;
e466;v211;v52;contient;292;g;;;
e467;v211;v212;contient;35;g;;;
e468;v211;v101;contient;152;g;;;
e469;v211;v213;contient;12;g;;;
e470;v211;v4;contient;117;g;;;
e471;v211;v9;contient;12;g;;;
e472;v211;v71;contient;7;g;;;
e473;v214;v215;contient;4294;g;;;
e474;v214;v6;contient;3864;g;;;
e475;v214;v216;contient;1717;g;;;
e476;v214;v10;contient;17;g;;;
e477;v214;v9;contient;107;g;;;
e478;v215;v272;contient;;;;;
e479;v216;v215;contient;1000;g;;;
e480;v216;v6;contient;500;g;;;
e481;v217;v214;contient;1333;g;;;
e482;v217;v219;contient;1;pcs;;;
e483;v218;v214;contient;2000;g;;;
e484;v218;v219;contient;1;pcs;;;
e485;v220;v221;contient;1602;g;;;
e486;v220;v6;contient;1762;g;;;
e487;v220;v10;contient;3;g;;;
e488;v220;v9;contient;30;g;;;
e489;v220;v216;contient;1602;g;;;
e490;v221;v272;contient;;;;;
e491;v223;v220;contient;1333;g;;;
e492;v223;v222;contient;1;pcs;;;
e493;v224;v225;contient;2203;g;;;
